2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:15:22 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:16:40 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:16:40 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:19:47 | INFO     | src.infrastructure.adapters.output.knowledge_base | ChromaKnowledgeBase ready — C:\proyecto\derecho_peticion\chroma_db
2026-03-16 15:19:48 | WARNING  | pypdf._reader | invalid pdf header: b'\t\n%PD'
2026-03-16 15:19:48 | WARNING  | pypdf._reader | EOF marker seems truncated
2026-03-16 15:19:48 | WARNING  | pypdf._reader | incorrect startxref pointer(1)
2026-03-16 15:19:48 | WARNING  | pypdf._reader | parsing for Object Streams
2026-03-16 15:21:05 | INFO     | __main__ | Starting application — project root: C:\proyecto\derecho_peticion
2026-03-16 15:21:05 | INFO     | src.infrastructure.container | DB path resolved: C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:21:05 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:21:05 | INFO     | src.infrastructure.container | SQLite repository initialized
2026-03-16 15:21:06 | INFO     | src.infrastructure.container | Gemini configured — model=gemini-2.5-flash key=SET
2026-03-16 15:21:06 | INFO     | src.infrastructure.adapters.output.doc_generator | DocxEngine output dir: C:\proyecto\derecho_peticion\generated_docs
2026-03-16 15:21:08 | INFO     | src.infrastructure.adapters.output.knowledge_base | ChromaKnowledgeBase ready — C:\proyecto\derecho_peticion\chroma_db
2026-03-16 15:21:08 | INFO     | src.infrastructure.container | Knowledge base: ENABLED
2026-03-16 15:21:08 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 15:21:08 | INFO     | __main__ | Container initialized successfully
2026-03-16 15:21:08 | INFO     | __main__ | FastAPI app ready — routes registered
2026-03-16 15:21:09 | INFO     | src.infrastructure.ingestion.ingest_service | Extracted 401456 chars from 'Ley_1437_de_2011.pdf' for template 'Derechos'
2026-03-16 15:21:09 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/embedding-001:batchEmbedContents "HTTP/1.1 404 Not Found"
2026-03-16 15:21:14 | INFO     | __mp_main__ | Starting application — project root: C:\proyecto\derecho_peticion
